,text-3 href,text-3,story__link,story__link href,story__excerpt,timestamp--label,timestamp--time,Concatenated_Columns
42,www.dawn.com/world,World,US media groups sue FBI over hack of San Bernardino shooters iPhone,1284212-us media groups sue fbi over hack of san bernardino shooters iphone,They want FBI to release details of how it hacked the iPhone of the man who shot and killed 14 people in San Bernardino.,Published,"17 Sep, 2016",US media groups sue FBI over hack of San Bernardino shooters iPhoneThey want FBI to release details of how it hacked the iPhone of the man who shot and killed 14 people in San Bernardino.
43,www.dawn.com/sport,Sport,Strauss says no England blacklist for Morgan,1284599-strauss says no england blacklist for morgan,"It's not like these guys are going to be blacklisted and their names will not be put forward for selection.""",Published,"18 Sep, 2016","Strauss says no England blacklist for MorganIt's not like these guys are going to be blacklisted and their names will not be put forward for selection."""
44,www.dawn.com/world,World,At least  dead in Thailand river boat collision,1284584-at least 13 dead in thailand river boat collision,Accident happened near the ancient city of Ayutthaya no foreigners are believed to be among the dead.,Published,"18 Sep, 2016",At least  dead in Thailand river boat collisionAccident happened near the ancient city of Ayutthaya no foreigners are believed to be among the dead.
45,www.dawn.com/world,World,Iran must stand strong against US on regional conflicts Khamenei,1284559-iran must stand strong against us on regional conflicts khamenei,Khamenei stresses that military power and intimidation are the most effective means to keep foreign threats at bay.,Updated,"18 Sep, 2016",Iran must stand strong against US on regional conflicts KhameneiKhamenei stresses that military power and intimidation are the most effective means to keep foreign threats at bay.
46,www.dawn.com/world,World,Somali general killed in suicide car bomb attack claimed by Shabaab militant group,1284558-somali general killed in suicide car bomb attack claimed by shabaab militant group,"General Mohamed Roble Jimale Gobale was killed in the attack in Mogadishu, claimed by the AlQaeda linked Shabaab.",Updated,"18 Sep, 2016","Somali general killed in suicide car bomb attack claimed by Shabaab militant groupGeneral Mohamed Roble Jimale Gobale was killed in the attack in Mogadishu, claimed by the AlQaeda linked Shabaab."
47,www.dawn.com/world,World,Attack on Indian army base in occupied Kashmir as it happened,1284556-attack on indian army base in occupied kashmir as it happened,"Residents of Uri town saw smoke billowing from the nearby army base after dawn, heard continuous rounds of heavy gunfire",Updated,"18 Sep, 2016","Attack on Indian army base in occupied Kashmir as it happenedResidents of Uri town saw smoke billowing from the nearby army base after dawn, heard continuous rounds of heavy gunfire"
48,www.dawn.com/pakistan,Pakistan,Pakistan rejects Indias allegations of involvement in terrorist attack in held Kashmir,1284555-pakistan rejects indias allegations of involvement in terrorist attack in held kashmir,"""India is trying to divert world's attention from the human rights violations being committed in occupied Kashmir.""",Updated,"18 Sep, 2016","Pakistan rejects Indias allegations of involvement in terrorist attack in held Kashmir""India is trying to divert world's attention from the human rights violations being committed in occupied Kashmir."""
49,www.dawn.com/pakistan,Pakistan,Raiwind march on Sept  Imran Khan,1284554-raiwind march on sept 30 imran khan,"""Raiwind is not anyone's father's property,"" says PTI chief.",Published,"18 Sep, 2016","Raiwind march on Sept  Imran Khan""Raiwind is not anyone's father's property,"" says PTI chief."
50,www.dawn.com/pakistan,Pakistan,After Uber Careem announces up to pc slash in Go fares for Karachi residents,1284553-after uber careem announces up to 30pc slash in go fares for karachi residents,Careem also cuts 'Economy' fares to Rs15km from earlier fare of Rs17km.,Updated,"02 Nov, 2016",After Uber Careem announces up to pc slash in Go fares for Karachi residentsCareem also cuts 'Economy' fares to Rs15km from earlier fare of Rs17km.
51,www.dawn.com/pakistan,Pakistan,Pakistan a terrorist state  Rajnath spews vitriol ahead of UN General Assembly session,1284549-pakistan a terrorist state rajnath spews vitriol ahead of un general assembly session,"""Deeply disappointed with Pakistan's continued and direct support to terrorism and terrorist groups.""",Updated,"18 Sep, 2016","Pakistan a terrorist state  Rajnath spews vitriol ahead of UN General Assembly session""Deeply disappointed with Pakistan's continued and direct support to terrorism and terrorist groups."""
52,www.dawn.com/world,World,Two Saudi policemen shot dead in mainly Shia city,1284551-two saudi policemen shot dead in mainly shia city,The two officers were patrolling in a police car when they came under fire at around 1130 pm in Dammam.,Published,"18 Sep, 2016",Two Saudi policemen shot dead in mainly Shia cityThe two officers were patrolling in a police car when they came under fire at around 1130 pm in Dammam.
53,www.dawn.com/world,World,Iranian cyclist tragedy mars Rio Paralympics finale,1284548-iranian cyclist tragedy mars rio paralympics finale,"It is the first ever death of an athlete during the Games, IPC president says.",Published,"18 Sep, 2016","Iranian cyclist tragedy mars Rio Paralympics finaleIt is the first ever death of an athlete during the Games, IPC president says."
54,www.dawn.com/world,World,Pakistan has few friends and many enemies in Washington,1284399-the threat of us sanctions,The danger for Pakistan does not reside in the rhetoric from New Delhi or Kabul,Published,"18 Sep, 2016",Pakistan has few friends and many enemies in WashingtonThe danger for Pakistan does not reside in the rhetoric from New Delhi or Kabul
